sp;skulllength;rostraltube;postincisive;rostraltube_sc;postincisive_sc;centroid_size;log_CS
Juscelinomys_huanchacae;3.362810719;0.111342264;0.895962276;0.022005905;0.17707975;5.05965405;1.666949261
Oxymycterus_amazonicus;3.285025443;0.190106538;0.923455541;0.03828078;0.185951513;4.966109307;1.621329945
Oxymycterus_caparaoe;3.383606336;0.306097841;0.917907106;0.053892892;0.161610642;5.679744195;1.602643262
Oxymycterus_dasytrichus;3.786339069;0.252851874;1.082294845;0.048240761;0.206487404;5.241456973;1.736895698
Oxymycterus_delator;3.423205341;0.192108799;0.969607834;0.042548205;0.214748481;4.515085873;1.656579012
Oxymycterus_hiska;3.016485072;0.271958065;0.851406786;0.056293572;0.176235733;4.831067871;1.507421832
Oxymycterus_inca;3.602925589;0.231005388;1.029458197;0.042048625;0.187386545;5.493767946;1.703601233
Oxymycterus_itapeby;3.243082978;0.19501457;0.887136923;0.039418262;0.179316838;4.947315222;1.598853086
Oxymycterus_josei;3.655602941;0.253520926;1.018706826;0.040706728;0.163569224;6.227985915;1.829068176
Oxymycterus_juliacae;3.603276602;0.24351273;1.015020331;0.045407664;0.189270198;5.362811173;1.679478041
Oxymycterus_nasutus;3.270155371;0.263339543;0.905661607;0.053722922;0.184760661;4.90180974;1.589612973
Oxymycterus_nigrifrons;3.374198923;0.277432751;0.929223954;0.048909413;0.163815547;5.672379523;1.735450107
Oxymycterus_paramensis;3.35462142;0.331072391;0.91910214;0.066886251;0.185685362;4.94978242;1.599273811
Oxymycterus_quaestor;3.959388095;0.304837769;1.151385296;0.051794016;0.195628216;5.885578892;1.772509204
Oxymycterus_rufus;3.667610571;0.235513039;1.012588621;0.043351243;0.186388725;5.43267099;1.69238022
