"sp","dorsal","ventral","mandible","lateral","CS_mean","log_CS"
"J_huanchacae",5.370838375,7.028587261,2.945492639,5.83902755,5.29598645625,1.66694926127683
"O_amazonicus",5.106775564,6.665524341,2.865706215,5.601254361,5.05981512025,1.62132994513186
"O_caparoae",4.969915089,6.537589221,2.659921106,5.697142206,4.9661419055,1.60264326209051
"O_dasytrichus",5.650399112,7.5314079,3.121473432,6.41545785,5.6796845735,1.73689569835655
"O_delator",5.199399307,7.010121671,2.888703725,5.86717347,5.24134954325,1.65657901159532
"O_hiska",4.591553505,5.958400246,2.419473818,5.090873042,4.51507515275,1.50742183185777
"O_inca",5.536663996,7.222240886,3.030222547,6.185656125,5.4936958885,1.70360123275552
"O_itapeby",4.962156632,6.556957102,2.746368992,5.523937194,4.94735498,1.59885308629136
"O_josei",5.354026424,7.090153903,NA,6.240061111,6.22808047933333,1.82906817606767
"O_juliacae",5.392934259,7.108518429,2.875585514,6.073986208,5.3627561025,1.67947804115571
"O_nasutus",4.930543994,6.49382278,2.600712213,5.582326657,4.901851411,1.589612972733
"O_nigrifrons",4.905304908,6.440454977,NA,5.668680119,5.67148000133333,1.73545010684189
"O_paramensis",4.992943095,6.492520207,2.685308042,5.626976226,4.9494368925,1.59927381101863
"O_quaestor",5.882182955,7.787130984,3.19185171,6.681246454,5.88560302575,1.77250920372951
"O_rufus",5.321446625,7.065631742,3.119406286,6.223097857,5.4323956275,1.69238022035459
