sp;dorsal;ventral;mandible;lateral
J_huanchacae;5.370838375;7.028587261;2.945492639;5.83902755
O_amazonicus;5.106775564;6.665524341;2.865706215;5.601254361
O_caparoae;4.969915089;6.537589221;2.659921106;5.697142206
O_dasytrichus;5.650399112;7.5314079;3.121473432;6.41545785
O_delator;5.199399307;7.010121671;2.888703725;5.86717347
O_hiska;4.591553505;5.958400246;2.419473818;5.090873042
O_inca;5.536663996;7.222240886;3.030222547;6.185656125
O_itapeby;4.962156632;6.556957102;2.746368992;5.523937194
O_josei;5.354026424;7.090153903;NA;6.240061111
O_juliacae;5.392934259;7.108518429;2.875585514;6.073986208
O_nasutus;4.930543994;6.49382278;2.600712213;5.582326657
O_nigrifrons;4.905304908;6.440454977;NA;5.668680119
O_paramensis;4.992943095;6.492520207;2.685308042;5.626976226
O_quaestor;5.882182955;7.787130984;3.19185171;6.681246454
O_rufus;5.321446625;7.065631742;3.119406286;6.223097857
